No	ExtEHR resource	ExtEHR field	ExtEHR #	ExtEHR description	ExtEHR type	Ext binding	ExtEHR source	Mapped Resource	Mapped Field	EQ				Modeling	Needs work	Actor	Section	R4Mapped Resource	R4Mapped Field	EQ				Modeling	Needs work	Actor	Section	
1	EHDSAddress		0..*	EHDS refined base model for Address structure			Address model	EuAddress								MR										MR		
2	EHDSAddress	use	0..1	Purpose of the address	CodeableConcept	HL7 AddressUse (preferred)	Purpose of the address	EuAddress	use	EQ						MR				EQ						MR		
3	EHDSAddress	type	0..1	Distinguishes between physical addresses (those you can visit) and mailing addresses (e.g. PO Boxes and care-of addresses). Most addresses are both.	CodeableConcept	HL7 AddressType (preferred)	Distinguishes between physical addresses (those you can visit) and mailing addresses (e.g. PO Boxes and care-of addresses). Most addresses are both.	EuAddress	type	EQ						MR				EQ						MR		
4	EHDSAddress	text	0..1	Text representation of the address	string		Text representation of the address	EuAddress	text	EQ						MR				EQ						MR		
5	EHDSAddress	street	0..1	Name of the street	string		Name of the street	EuAddress	line	TB						MR				TB						MR		
6	EHDSAddress	street	0..1	Name of the street	string		Name of the street	EuAddress	line.extension[streetName]	EQ						MR				EQ						MR		
7	EHDSAddress	houseNumber	0..1	House number	string		House number	EuAddress	line	TB						MR				TB						MR		
8	EHDSAddress	houseNumber	0..1	House number	string		House number	EuAddress	line.extension[houseNumber]	EQ						MR				EQ						MR		
9	EHDSAddress	postBox	0..1	Post box	string		Post box	EuAddress	line	TB						MR				TB						MR		
10	EHDSAddress	postBox	0..1	Post box	string		Post box	EuAddress	line.extension[postBox]	EQ						MR				EQ						MR		
11	EHDSAddress	city	0..1	City	string		City	EuAddress	city	EQ						MR				EQ						MR		
12	EHDSAddress	postalCode	0..1	Postal code	string		Postal code	EuAddress	postalCode	EQ						MR				EQ						MR		
13	EHDSAddress	country	0..1	Country name and country code	CodeableConcept	ISO 3166-1 alpha-2 (preferred)	Country name and country code	EuAddress	country	EQ						MR				EQ						MR		
14	EHDSAddress	country	0..1	Country name and country code	CodeableConcept	ISO 3166-1 alpha-2 (preferred)	Country name and country code	EuAddress	country.extension[countryCode]	EQ						MR				EQ						MR		
15	EHDSAdvanceDirective		0..*	Healthcare directives concerning life or after life wishes of the patient			Advance directive model																					
16	EHDSAdvanceDirective	header	1..1	Common header for all patient-related data	Base		Common header for all patient-related data																					
17	EHDSAdvanceDirective	header.subject	1..1	Patient/subject information	EHDSPatient		Subject																					
18	EHDSAdvanceDirective	header.identifier	0..*	Business identifier for the object	Identifier		Business identifier for the object																					
19	EHDSAdvanceDirective	header.authorship	1..*	Resource authoring details	Base		Authorship																					
20	EHDSAdvanceDirective	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSHealthProfessional		Author																					
21	EHDSAdvanceDirective	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSOrganisation		Author																					
22	EHDSAdvanceDirective	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSDevice		Author																					
23	EHDSAdvanceDirective	header.authorship.datetime	1..1	Date and time of the issuing the document/resource by its author.	dateTime		Date and time of authoring/issuing																					
24	EHDSAdvanceDirective	header.lastUpdate	0..1	Date and time of the last update to the document/information	dateTime		Date and time of the last update to the resource																					
25	EHDSAdvanceDirective	header.status	1..1	Status of the resource	CodeableConcept		Status of the resource																					
26	EHDSAdvanceDirective	header.statusReason[x]	0..1	Reason for the current status of the resource.	CodeableConcept		Reason for the current status of the resource.																					
27	EHDSAdvanceDirective	header.statusReason[x]	0..1	Reason for the current status of the resource.	string		Reason for the current status of the resource.																					
28	EHDSAdvanceDirective	header.language	0..1	Language in which the resource is written. Language is expressed by the IETF language tag.	CodeableConcept	BCP 47 (preferred)	Language																					
29	EHDSAdvanceDirective	header.version	0..1	Business version of the resource.	string		Version																					
30	EHDSAdvanceDirective	presentedForm	0..*	A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document	EHDSAttachment		A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document																					
31	EHDSAdvanceDirective	category	0..*	Categories of Directives related to decisions prior and after death	CodeableConcept	SNOMED CT (preferred)	Categories of Directives related to decisions prior and after death																					
32	EHDSAdvanceDirective	narrative	0..1	Textual description of the directive	string		Textual description of the directive																					
33	EHDSAdvanceDirective	effectivePeriod	0..1	Time period during which the directive is effective	Period		Time period during which the directive is effective																					
34	EHDSAdvanceDirective	authorisingEntity[x]	0..1	Person or organisation that authorizes the directive	EHDSPatient		Person or organisation that authorizes the directive																					
35	EHDSAdvanceDirective	authorisingEntity[x]	0..1	Person or organisation that authorizes the directive	EHDSHealthProfessional		Person or organisation that authorizes the directive																					
36	EHDSAdvanceDirective	authorisingEntity[x]	0..1	Person or organisation that authorizes the directive	EHDSRelatedPerson		Person or organisation that authorizes the directive																					
37	EHDSAdvanceDirective	authorisingEntity[x]	0..1	Person or organisation that authorizes the directive	EHDSOrganisation		Person or organisation that authorizes the directive																					
38	EHDSAdvanceDirective	relatedConditions[x]	0..*	The problem or disorder to which the living will applies. Multiple fields could be provided.	CodeableConcept	ICD-10, SNOMED CT, Orphacode (preferred)	The problem or disorder to which the living will applies. Multiple fields could be provided.																					
39	EHDSAdvanceDirective	advanceDirectiveDocument	0..1	Scanned source document with the living will and the patient's signature, such as a PDF.	EHDSAttachment		Scanned source document with the living will and the patient's signature, such as a PDF.																					
40	EHDSAlert		0..*	Alert flag			Alert model																					
41	EHDSAlert	header	1..1	Common header for all patient-related data	Base		Common header for all patient-related data																					
42	EHDSAlert	header.subject	1..1	Patient/subject information	EHDSPatient		Subject																					
43	EHDSAlert	header.identifier	0..*	Business identifier for the object	Identifier		Business identifier for the object																					
44	EHDSAlert	header.authorship	1..*	Resource authoring details	Base		Authorship																					
45	EHDSAlert	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSHealthProfessional		Author																					
46	EHDSAlert	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSOrganisation		Author																					
47	EHDSAlert	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSDevice		Author																					
48	EHDSAlert	header.authorship.datetime	1..1	Date and time of the issuing the document/resource by its author.	dateTime		Date and time of authoring/issuing																					
49	EHDSAlert	header.lastUpdate	0..1	Date and time of the last update to the document/information	dateTime		Date and time of the last update to the resource																					
50	EHDSAlert	header.status	1..1	Status of the resource	CodeableConcept		Status of the resource																					
51	EHDSAlert	header.statusReason[x]	0..1	Reason for the current status of the resource.	CodeableConcept		Reason for the current status of the resource.																					
52	EHDSAlert	header.statusReason[x]	0..1	Reason for the current status of the resource.	string		Reason for the current status of the resource.																					
53	EHDSAlert	header.language	0..1	Language in which the resource is written. Language is expressed by the IETF language tag.	CodeableConcept	BCP 47 (preferred)	Language																					
54	EHDSAlert	header.version	0..1	Business version of the resource.	string		Version																					
55	EHDSAlert	presentedForm	0..*	A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document	EHDSAttachment		A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document																					
56	EHDSAlert	text	0..1	A human-readable narrative that contains a summary of the flag and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it \"clinically safe\" for a human to just read the narrative.																								
57	Example 1: intolerance to aspirin due to gastrointestinal bleeding.																											
58	Example 2: intolerance to captopril because of cough (the patient is not allergic but can't tolerate it because of persistent cough)																											
59	Example 3: the patient has a rare disease that requires special treatment																											
60	Example 4: Airway Alert / Difficult Intubation																											
61	Example 5: Diagnoses such as malignant hyperthermia, porphyria, and bleeding disorders, special treatments like anticoagulants or immunosuppressants, implanted devices.																											
62	Example 6: transplanted organs illustrate other information that has to be taken into account in a healthcare contact.																											
63	Example 7: participation in a clinical trial that has to be taken into account in a healthcare contact.	string		Text																								
64	EHDSAlert	priority	0..*	A code that identifies the priority of the alert.	CodeableConcept	hl7:Flag-priority-code (preferred)	Priority																					
65	EHDSAlert	status	0..1	Current status of the flag, Indicates whether this flag is active and needs to be displayed to a user, or whether it is no longer needed or was entered in error.	CodeableConcept	hl7:Flag-status (preferred)	Status																					
66	EHDSAlert	code	1..1	A coded or textual representation of the flag.	CodeableConcept	SNOMED CT (preferred)	Code																					
67	EHDSAlert	period	0..1	Time period when flag is active. The period of time from the activation of the flag to inactivation of the flag. If the flag is active, the end of the period should be unspecified.	Period		Period																					
68	EHDSAllergyIntolerance		0..*	EHDS refined base model for allergy/intolerance			Allergy intolerance model	EuAllergyIntolerance								R										R		
69	EHDSAllergyIntolerance	header	1..1	Common header for all patient-related data	Base		Common header for all patient-related data																					
70	EHDSAllergyIntolerance	header.subject	1..1	Patient/subject information	EHDSPatient		Subject	EuAllergyIntolerance	patient	EQ		EuPatient				R				EQ		EuPatient				R		
71	EHDSAllergyIntolerance	header.identifier	0..*	Business identifier for the object	Identifier		Business identifier for the object	EuAllergyIntolerance	identifier	EQ						R				EQ						R		
72	EHDSAllergyIntolerance	header.authorship	1..*	Resource authoring details	Base		Authorship																					
73	EHDSAllergyIntolerance	authorEHDSHealthProfessional	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSHealthProfessional		Author	EuPractitioner		EQ						R				EQ						R		
74	EHDSAllergyIntolerance	authorEHDSOrganisation	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSOrganisation		Author	EuOrganization		EQ						R				EQ						R		
75	EHDSAllergyIntolerance	authorEHDSDevice	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSDevice		Author	EuDevice		EQ						R				EQ						R		
76	EHDSAllergyIntolerance	header.authorship.datetime	1..1	Date and time of the issuing the document/resource by its author.	dateTime		Date and time of authoring/issuing	EuAllergyIntolerance	recordedDate	EQ						R				EQ						R		
77	EHDSAllergyIntolerance	header.lastUpdate	0..1	Date and time of the last update to the document/information	dateTime		Date and time of the last update to the resource	EuAllergyIntolerance	meta.lastUpdated	EQ						R				EQ						R		
78	EHDSAllergyIntolerance	header.status	1..1	Status of the resource	CodeableConcept		Status of the resource	EuAllergyIntolerance	verificationStatus	EQ						R				EQ						R		
79	EHDSAllergyIntolerance	header.statusReasonCodeableConcept	0..1	Reason for the current status of the resource.	CodeableConcept		Reason for the current status of the resource.	EuAllergyIntolerance	verificationStatus.coding	EQ						R				EQ						R		
80	EHDSAllergyIntolerance	header.statusReasonString	0..1	Reason for the current status of the resource.	string		Reason for the current status of the resource.		verificationStatus.text	EQ						R				EQ						R		
81	EHDSAllergyIntolerance	header.language	0..1	Language in which the resource is written. Language is expressed by the IETF language tag.	CodeableConcept	BCP 47 (preferred)	Language	EuAllergyIntolerance	language	EQ						R				EQ						R		
82	EHDSAllergyIntolerance	header.version	0..1	Business version of the resource.	string		Version	EuAllergyIntolerance	meta.versionId	EQ						R				EQ						R		
83	EHDSAllergyIntolerance	presentedForm	0..*	A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document	EHDSAttachment		A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document	EuAllergyIntolerance	text	EQ						R				EQ						R		
