EHDSAddress; ; 0..*; EHDS refined base model for Address structure; ;   ; Address model 
EHDSAddress; use; 0..1; Purpose of the address; CodeableConcept; HL7 AddressUse (preferred)  ; Purpose of the address 
EHDSAddress; type; 0..1; Distinguishes between physical addresses (those you can visit) and mailing addresses (e.g. PO Boxes and care-of addresses). Most addresses are both.; CodeableConcept; HL7 AddressType (preferred)  ; Distinguishes between physical addresses (those you can visit) and mailing addresses (e.g. PO Boxes and care-of addresses). Most addresses are both. 
EHDSAddress; text; 0..1; Text representation of the address; string;   ; Text representation of the address 
EHDSAddress; street; 0..1; Name of the street; string;   ; Name of the street 
EHDSAddress; houseNumber; 0..1; House number; string;   ; House number 
EHDSAddress; postBox; 0..1; Post box; string;   ; Post box 
EHDSAddress; city; 0..1; City; string;   ; City 
EHDSAddress; postalCode; 0..1; Postal code; string;   ; Postal code 
EHDSAddress; country; 0..1; Country name and country code; CodeableConcept; ISO 3166-1 alpha-2 (preferred)  ; Country name and country code 
EHDSAdvanceDirective; ; 0..*; Healthcare directives concerning life or after life wishes of the patient; ;   ; Advance directive model 
EHDSAdvanceDirective; header; 1..1; Common header for all patient-related data; Base;   ; Common header for all patient-related data 
EHDSAdvanceDirective; header.subject; 1..1; Patient/subject information; EHDSPatient;   ; Subject 
EHDSAdvanceDirective; header.identifier; 0..*; Business identifier for the object; Identifier;   ; Business identifier for the object 
EHDSAdvanceDirective; header.authorship; 1..*; Resource authoring details; Base;   ; Authorship 
EHDSAdvanceDirective; header.authorship.author[x]; 1..1; Author(s) by whom the resource was/were authored. Multiple authors could be provided.; EHDSHealthProfessional;   ; Author 
EHDSAdvanceDirective; header.authorship.author[x]; 1..1; Author(s) by whom the resource was/were authored. Multiple authors could be provided.; EHDSOrganisation;   ; Author 
EHDSAdvanceDirective; header.authorship.author[x]; 1..1; Author(s) by whom the resource was/were authored. Multiple authors could be provided.; EHDSDevice;   ; Author 
EHDSAdvanceDirective; header.authorship.datetime; 1..1; Date and time of the issuing the document/resource by its author.; dateTime;   ; Date and time of authoring/issuing 
EHDSAdvanceDirective; header.lastUpdate; 0..1; Date and time of the last update to the document/information; dateTime;   ; Date and time of the last update to the resource 
EHDSAdvanceDirective; header.status; 1..1; Status of the resource; CodeableConcept;   ; Status of the resource 
EHDSAdvanceDirective; header.statusReason[x]; 0..1; Reason for the current status of the resource.; CodeableConcept;   ; Reason for the current status of the resource. 
EHDSAdvanceDirective; header.statusReason[x]; 0..1; Reason for the current status of the resource.; string;   ; Reason for the current status of the resource. 
EHDSAdvanceDirective; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language 
EHDSAdvanceDirective; header.version; 0..1; Business version of the resource.; string;   ; Version 
EHDSAdvanceDirective; presentedForm; 0..*; A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document; EHDSAttachment;   ; A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document 
EHDSAdvanceDirective; category; 0..*; Categories of Directives related to decisions prior and after death; CodeableConcept; SNOMED CT (preferred)  ; Categories of Directives related to decisions prior and after death 
EHDSAdvanceDirective; narrative; 0..1; Textual description of the directive; string;   ; Textual description of the directive 
EHDSAdvanceDirective; effectivePeriod; 0..1; Time period during which the directive is effective; Period;   ; Time period during which the directive is effective 
EHDSAdvanceDirective; authorisingEntity[x]; 0..1; Person or organisation that authorizes the directive; EHDSPatient;   ; Person or organisation that authorizes the directive 
EHDSAdvanceDirective; authorisingEntity[x]; 0..1; Person or organisation that authorizes the directive; EHDSHealthProfessional;   ; Person or organisation that authorizes the directive 
EHDSAdvanceDirective; authorisingEntity[x]; 0..1; Person or organisation that authorizes the directive; EHDSRelatedPerson;   ; Person or organisation that authorizes the directive 
EHDSAdvanceDirective; authorisingEntity[x]; 0..1; Person or organisation that authorizes the directive; EHDSOrganisation;   ; Person or organisation that authorizes the directive 
EHDSAdvanceDirective; relatedConditions[x]; 0..*; The problem or disorder to which the living will applies. Multiple fields could be provided.; CodeableConcept; ICD-10, SNOMED CT, Orphacode (preferred)  ; The problem or disorder to which the living will applies. Multiple fields could be provided. 
EHDSAdvanceDirective; advanceDirectiveDocument; 0..1; Scanned source document with the living will and the patient's signature, such as a PDF.; EHDSAttachment;   ; Scanned source document with the living will and the patient's signature, such as a PDF. 
EHDSAlert; ; 0..*; Alert flag; ;   ; Alert model 
EHDSAlert; header; 1..1; Common header for all patient-related data; Base;   ; Common header for all patient-related data 
EHDSAlert; header.subject; 1..1; Patient/subject information; EHDSPatient;   ; Subject 
EHDSAlert; header.identifier; 0..*; Business identifier for the object; Identifier;   ; Business identifier for the object 
EHDSAlert; header.authorship; 1..*; Resource authoring details; Base;   ; Authorship 
EHDSAlert; header.authorship.author[x]; 1..1; Author(s) by whom the resource was/were authored. Multiple authors could be provided.; EHDSHealthProfessional;   ; Author 
EHDSAlert; header.authorship.author[x]; 1..1; Author(s) by whom the resource was/were authored. Multiple authors could be provided.; EHDSOrganisation;   ; Author 
